release_date,date_id,year,month,quarter
2009-12-10,1,2009,12,4
2007-05-19,2,2007,5,2
2015-10-26,3,2015,10,4
2012-07-16,4,2012,7,3
2012-03-07,5,2012,3,1
2007-05-01,6,2007,5,2
2010-11-24,7,2010,11,4
2015-04-22,8,2015,4,2
2009-07-07,9,2009,7,3
2016-03-23,10,2016,3,1
2006-06-28,11,2006,6,2
2008-10-30,12,2008,10,4
2006-06-20,13,2006,6,2
2013-07-03,14,2013,7,3
2013-06-12,15,2013,6,2
2008-05-15,16,2008,5,2
2012-04-25,17,2012,4,2
2011-05-14,18,2011,5,2
2012-05-23,19,2012,5,2
2014-12-10,20,2014,12,4
2012-06-27,21,2012,6,2
2010-05-12,22,2010,5,2
2013-12-11,23,2013,12,4
2007-12-04,24,2007,12,4
2005-12-14,25,2005,12,4
1997-11-18,26,1997,11,4
2016-04-27,27,2016,4,2
2012-04-11,28,2012,4,2
2015-06-09,29,2015,6,2
2012-10-25,30,2012,10,4
2004-06-25,31,2004,6,2
2013-04-18,32,2013,4,2
2010-03-03,33,2010,3,1
2006-05-24,34,2006,5,2
2013-06-20,35,2013,6,2
2009-06-19,36,2009,6,2
2014-06-25,37,2014,6,2
2013-03-07,38,2013,3,1
2014-04-16,39,2014,4,2
2010-12-10,40,2010,12,4
2011-06-11,41,2011,6,2
2011-06-16,42,2011,6,2
2010-06-16,43,2010,6,2
2009-05-20,44,2009,5,2
2015-04-01,45,2015,4,2
2014-05-15,46,2014,5,2
2013-05-05,47,2013,5,2
2013-02-27,48,2013,2,1
2013-05-10,49,2013,5,2
2010-05-19,50,2010,5,2
2013-07-11,51,2013,7,3
2011-06-28,52,2011,6,2
2008-05-21,53,2008,5,2
2015-11-14,54,2015,11,4
2012-06-21,55,2012,6,2
2016-07-07,56,2016,7,3
2008-06-22,57,2008,6,2
2007-08-08,58,2007,8,3
2009-10-10,59,2009,10,4
2009-11-04,60,2009,11,4
2015-02-04,61,2015,2,1
2016-06-29,62,2016,6,2
2005-12-07,63,2005,12,4
2016-05-18,64,2016,5,2
2008-07-16,65,2008,7,3
2009-05-13,66,2009,5,2
2009-03-19,67,2009,3,1
2008-04-30,68,2008,4,2
2011-11-22,69,2011,11,4
1999-06-29,70,1999,6,2
2008-07-01,71,2008,7,3
2016-08-02,72,2016,8,3
2007-06-09,73,2007,6,2
2014-05-27,74,2014,5,2
1995-07-28,75,1995,7,3
2009-08-04,76,2009,8,3
2016-04-07,77,2016,4,2
2010-04-28,78,2010,4,2
2012-05-30,79,2012,5,2
2014-05-28,80,2014,5,2
2014-06-26,81,2014,6,2
2015-02-13,82,2015,2,1
2013-12-06,83,2013,12,4
2014-03-20,84,2014,3,1
2010-05-16,85,2010,5,2
2015-05-19,86,2015,5,2
2014-10-24,87,2014,10,4
2012-11-01,88,2012,11,4
2004-11-10,89,2004,11,4
2016-06-22,90,2016,6,2
2010-03-05,91,2010,3,1
2003-07-02,92,2003,7,3
2014-07-30,93,2014,7,3
2014-11-05,94,2014,11,4
2010-07-14,95,2010,7,3
2016-07-29,96,2016,7,3
2012-11-26,97,2012,11,4
2001-06-22,98,2001,6,2
2008-11-24,99,2008,11,4
2011-05-24,100,2011,5,2
2015-11-18,101,2015,11,4
2010-07-13,102,2010,7,3
2006-05-12,103,2006,5,2
2016-05-25,104,2016,5,2
2007-05-17,105,2007,5,2
2015-06-23,106,2015,6,2
2010-08-13,107,2010,8,3
2001-05-21,108,2001,5,2
2007-06-27,109,2007,6,2
2004-11-21,110,2004,11,4
2007-06-28,111,2007,6,2
2005-11-05,112,2005,11,4
2007-12-14,113,2007,12,4
2005-07-13,114,2005,7,3
2007-06-22,115,2007,6,2
2005-06-10,116,2005,6,2
2009-04-28,117,2009,4,2
2003-11-05,118,2003,11,4
2013-11-27,119,2013,11,4
2003-05-15,120,2003,5,2
2013-10-29,121,2013,10,4
2015-05-13,122,2015,5,2
2011-04-21,123,2011,4,2
2008-11-21,124,2008,11,4
2009-07-21,125,2009,7,3
2012-03-27,126,2012,3,1
2012-05-08,127,2012,5,2
2015-07-23,128,2015,7,3
2010-02-11,129,2010,2,1
2007-10-28,130,2007,10,4
2011-05-25,131,2011,5,2
2010-06-30,132,2010,6,2
2006-05-03,133,2006,5,2
2013-06-27,134,2013,6,2
2011-03-09,135,2011,3,1
2006-10-22,136,2006,10,4
2015-09-24,137,2015,9,3
2014-02-07,138,2014,2,1
2004-05-13,139,2004,5,2
2012-06-06,140,2012,6,2
2002-11-17,141,2002,11,4
2016-07-14,142,2016,7,3
1998-07-01,143,1998,7,3
2002-07-03,144,2002,7,3
2007-11-05,145,2007,11,4
2016-01-23,146,2016,1,1
2011-12-07,147,2011,12,4
2012-11-21,148,2012,11,4
2005-12-21,149,2005,12,4
2003-12-05,150,2003,12,4
2014-12-03,151,2014,12,4
2009-05-06,152,2009,5,2
2002-05-01,153,2002,5,2
2014-06-12,154,2014,6,2
2016-02-25,155,2016,2,1
2005-07-28,156,2005,7,3
2009-03-05,157,2009,3,1
1998-07-10,158,1998,7,3
2003-06-19,159,2003,6,2
2013-03-26,160,2013,3,1
2005-04-06,161,2005,4,2
2001-07-02,162,2001,7,3
2011-07-22,163,2011,7,3
1999-11-08,164,1999,11,4
2003-11-14,165,2003,11,4
2012-11-13,166,2012,11,4
2011-11-17,167,2011,11,4
2008-06-12,168,2008,6,2
2016-06-01,169,2016,6,2
2015-12-25,170,2015,12,4
2011-03-02,171,2011,3,1
2014-11-22,172,2014,11,4
2007-08-03,173,2007,8,3
2008-06-04,174,2008,6,2
2015-07-14,175,2015,7,3
2013-11-15,176,2013,11,4
2015-03-18,177,2015,3,1
2005-06-28,178,2005,6,2
2003-07-18,179,2003,7,3
2011-10-28,180,2011,10,4
2010-07-21,181,2010,7,3
