movie_id,title,budget,revenue,runtime,vote_average,vote_count,popularity,profit
19995,Avatar,237000000,2787965087,162.0,7.2,11800,150.437577,2550965087
285,Pirates of the Caribbean: At World's End,300000000,961000000,169.0,6.9,4500,139.082615,661000000
206647,Spectre,245000000,880674609,148.0,6.3,4466,107.376788,635674609
49026,The Dark Knight Rises,250000000,1084939099,165.0,7.6,9106,112.31295,834939099
49529,John Carter,260000000,284139100,132.0,6.1,2124,43.926995,24139100
559,Spider-Man 3,258000000,890871626,139.0,5.9,3576,115.699814,632871626
38757,Tangled,260000000,591794936,100.0,7.4,3330,48.681969,331794936
99861,Avengers: Age of Ultron,280000000,1405403694,141.0,7.3,6767,134.279229,1125403694
767,Harry Potter and the Half-Blood Prince,250000000,933959197,153.0,7.4,5293,98.885637,683959197
209112,Batman v Superman: Dawn of Justice,250000000,873260194,151.0,5.7,7004,155.790452,623260194
1452,Superman Returns,270000000,391081192,154.0,5.4,1400,57.925623,121081192
10764,Quantum of Solace,200000000,586090727,106.0,6.1,2965,107.928811,386090727
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151.0,7.0,5246,145.847379,865659812
57201,The Lone Ranger,255000000,89289910,149.0,5.9,2311,49.046956,-165710090
49521,Man of Steel,225000000,662845518,143.0,6.5,6359,99.398009,437845518
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,150.0,6.3,1630,53.978602,194651413
24428,The Avengers,220000000,1519557910,143.0,7.4,11776,144.448633,1299557910
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,136.0,6.4,4948,135.413856,665713802
41154,Men in Black 3,225000000,624026776,106.0,6.2,4160,52.035179,399026776
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,144.0,7.1,4760,120.965743,706019788
1930,The Amazing Spider-Man,215000000,752215857,136.0,6.5,6586,89.866276,537215857
20662,Robin Hood,200000000,310669540,140.0,6.2,1398,37.668301,110669540
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,161.0,7.6,4524,94.370564,708400000
2268,The Golden Compass,180000000,372234864,113.0,5.8,1303,42.990906,192234864
254,King Kong,207000000,550000000,187.0,6.6,2337,61.22601,343000000
597,Titanic,200000000,1845034188,194.0,7.5,7562,100.025899,1645034188
271110,Captain America: Civil War,250000000,1153304495,147.0,7.1,7241,198.372395,903304495
44833,Battleship,209000000,303025485,131.0,5.5,2114,64.928382,94025485
135397,Jurassic World,150000000,1513528810,124.0,6.5,8662,418.708552,1363528810
37724,Skyfall,200000000,1108561013,143.0,6.9,7604,93.004993,908561013
558,Spider-Man 2,200000000,783766341,127.0,6.7,4321,35.149586,583766341
68721,Iron Man 3,200000000,1215439994,130.0,6.8,8806,77.68208,1015439994
12155,Alice in Wonderland,200000000,1025491110,108.0,6.4,4645,78.530105,825491110
36668,X-Men: The Last Stand,210000000,459359555,104.0,6.3,3525,3.857526,249359555
62211,Monsters University,200000000,743559607,104.0,7.0,3528,89.186492,543559607
8373,Transformers: Revenge of the Fallen,150000000,836297228,150.0,6.0,3138,21.939663,686297228
91314,Transformers: Age of Extinction,210000000,1091405097,165.0,5.8,3095,116.840296,881405097
68728,Oz: The Great and Powerful,200000000,491868548,130.0,5.7,3530,46.985445,291868548
102382,The Amazing Spider-Man 2,200000000,705717432,142.0,6.5,4179,89.270217,505717432
20526,TRON: Legacy,170000000,400062763,125.0,6.3,2841,73.79505,230062763
49013,Cars 2,200000000,559852396,106.0,5.8,2033,49.98659,359852396
44912,Green Lantern,200000000,219851172,114.0,5.1,2487,51.872839,19851172
10193,Toy Story 3,200000000,1066969703,103.0,7.6,4597,59.995418,866969703
534,Terminator Salvation,200000000,371353001,115.0,5.9,2463,71.862892,171353001
168259,Furious 7,190000000,1506249360,137.0,7.3,4176,102.322217,1316249360
72190,World War Z,200000000,531865000,116.0,6.7,5560,81.834855,331865000
